Name,Other Name,DOB,Spouse,Awards,Constituency,Political Party,Children,Relatives,Occupations,Website,Notable Works,Parents,Honours,Age
Priyamani,Priya Vasudevan Mani Iyer,1984-06-04,Mustafa Raj ​​,Full list,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
Ramya,Divya Spandana,1982-11-29,Unknown,Unknown,Mandya,Indian National Congress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29
Radhika Pandit,Unknown,1984-03-07,Yash ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7
Rashmika Mandanna,Unknown,1996-04-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5
Rachita Ram,Bindhiya Ram,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Nithya Ram (sister),Unknown,Unknown,Unknown,Unknown,Unknown,3
Sruthi Hariharan,Unknown,1989-02-02,Raam Kumar ​​,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2
Parul Yadav,Mumbai,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress producer,www .parulyadav .com,Unknown,Unknown,Unknown,1
Aindrita Ray,Unknown,Unknown,Diganth ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,19
Amulya,Moulya Bangalore,Unknown,Jagadish ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sapthami Gowda,Sapthami Gowda,1996-06-08,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8
Srinidhi Shetty,Unknown,1992-10-21,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Model actress,Unknown,Unknown,Unknown,Unknown,21
Ashika Ranganath,Unknown,1996-08-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5
Aditi Prabhudeva,Sudeepana Banakar Prabhudeva,1994-01-13,Yashas Patla ​​,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,13
Nishvika Naidu,Bangalore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sanjana Anand,Unknown,1995-03-28,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28
Sangeetha Sringeri,Unknown,1996-05-13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress Model,Unknown,Unknown,Unknown,Unknown,13
Amrutha Iyengar,Unknown,1996-07-26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,26
Sreeleela,Unknown,2001-06-14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14
Milana Nagaraj,Unknown,Unknown,Krishna ​​,Unknown,Unknown,Unknown,1.0,Unknown,Actress model producer,Unknown,Unknown,Unknown,Unknown,25
Shubha Poonja,Bangalore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sharmiela Mandre,Unknown,1987-10-28,Unknown,Unknown,Unknown,Unknown,Unknown,Sunanda Murali Manohar (aunt),Unknown,Unknown,Unknown,Unknown,Unknown,28
Pallavi Gowda,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aamani,Bengaluru,Unknown,Unknown,Nandi Awards Filmfare Awards South,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aarathi,Bharathi,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Anu Mehta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,Unknown
Asha Bhat,Unknown,1992-09-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5
Amy Jackson,Unknown,1992-01-31,Ed Westwick ​​,Unknown,Unknown,Unknown,1.0,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,31
Ambika,Kallara,Unknown,Premkumar ​ ​​,Kalaimaamani (1984),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Archana Jois,Unknown,Unknown,Shreyas J Udupa [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Anu Prabhakar,Bangalore,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nagabhushana,Nagabhushana,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Pruthvi Ambaar,Unknown,1988-08-17,Parul Shukla ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17
Sanchari Vijay,Vijay Kumar Basavarajaiah,1983-07-17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17
Vasishta N. Simha,Vasishta Niranjan Simha,1988-10-19,Hariprriya ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Actor singer,Unknown,Unknown,Unknown,Unknown,19
Kishore,Kishore Kumar,1974-08-14,Vishalakshi,Unknown,Unknown,Unknown,Unknown,D. R. Nagaraj (uncle),Unknown,Unknown,Full list,Unknown,Unknown,14
Rangayana Raghu,Unknown,1965-04-17,Mangala,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17
Achyuth Kumar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sathish Ninasam,Shiva,1986-06-20,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor Film producer Singer Lyricist,Unknown,Unknown,Unknown,Unknown,20
Dhananjaya,Kalenahalli Adaviswamy Dhananjaya,1985-08-23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor lyricist film producer,Unknown,Unknown,Unknown,Unknown,23
Rishab Shetty,Prashanth Shetty,1983-07-07,Pragati Shetty ​​,Unknown,Unknown,Unknown,2.0,Unknown,Actor Film director Film producer Screenwriter,Unknown,Unknown,Unknown,Unknown,1
Yash,Naveen Kumar Gowda,1986-01-08,Radhika Pandit ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8
Upendra,Upendra Rao,1968-09-18,Priyanka Upendra ​​,Unknown,Unknown,Uttama Prajaakeeya Party,2.0,Unknown,Actor director producer screenwriter playback singer lyricist politician,Unknown,Full list,Unknown,Unknown,18
Darshan,Hemanth Kumar,1977-02-16,Vijayalakshmi ​​,Unknown,Unknown,Unknown,1.0,Unknown,Actor producer distributor,Unknown,Full list,Unknown,Unknown,1
Ganesh,Ganesh Kishan,1978-07-02,Shilpa ​​,Unknown,Unknown,Unknown,2.0,Unknown,Actor director producer television presenter,Unknown,Full list,Unknown,Unknown,2
Shankar Nag,Shankar Nagarakatte,1954-11-09,Arundathi Rao ​​,Unknown,Unknown,Unknown,1.0,Gayatri (sister-in-law) Padmavati Rao (sister-in-law),Actor director screenwriter,Unknown,Full list,Unknown,Unknown,9
Vishnuvardhan,Sampath Kumar,1950-09-18,Bharathi Rao ​​,Honorary Doctorate – (2005) Bangalore University Indira Prathishtan National Award Karnataka State Film Awards Rajyotsava Award – 1990 Filmfare Awards South Filmfare Special Award – South Filmfare Lifetime Achievement Award – South – 2002,Unknown,Unknown,2.0,Aniruddha Jatkar (son-in-law),Unknown,Unknown,Full list,Unknown,Unknown,18
Dr. Rajkumar,Singanalluru Puttaswamaiah Muthuraj,1929-04-24,Parvathamma Rajkumar ​ ​​,Full list,Unknown,Unknown,Unknown,Unknown,Actor singer,Unknown,Full list,Unknown,Unknown,24
Shiva Rajkumar,Nagaraju Shiva Puttaswamy,1962-07-12,Unknown,Unknown,Unknown,Unknown,Unknown,See Rajkumar family,Actor film producer television presenter playback singer,Unknown,Full list,Dr. Rajkumar Parvathamma Rajkumar,Unknown,12
Puneeth Rajkumar,Lohith Rajkumar,1975-03-17,Ashwini Revanth ​​,Full list,Unknown,Unknown,2.0,See Rajkumar family,Actor singer film producer television presenter philanthropist,Unknown,Unknown,Dr. Rajkumar (father) Parvathamma Rajkumar (mother),Karnataka Ratna (2022) (posthumously),17
Sudeepa,Sudeep Sanjeev,1971-09-02,Priya Radhakrishna ​​,Full list,Unknown,Unknown,1.0,Unknown,Actor director producer television presenter singer,Unknown,Full list,Unknown,Unknown,2
Rakshit Shetty,Rakshit Shetty,1983-06-06,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Filmmaker actor Producer,paramvah .com,Unknown,Unknown,Unknown,6
Dhruva Sarja,Unknown,1988-10-06,Prerana Shankar ​​,Unknown,Unknown,Unknown,Unknown,Sarja family,Unknown,Unknown,Unknown,Unknown,Unknown,6
Sriimurali,Sri Murali Gowda,1981-12-17,Vidya ​​,Unknown,Unknown,Unknown,2.0,Vijay Raghavendra ( brother ) Prashanth Neel ( brother-in-law ) See Rajkumar family,Unknown,Unknown,Unknown,Unknown,Unknown,17
Diganth,Diganth Manchale,1983-12-28,Aindrita Ray ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28
Prajwal Devaraj,Unknown,1987-07-04,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
Vijay Raghavendra,Bengaluru,Unknown,Spandana Vijay ​ ​​,Unknown,Unknown,Unknown,1.0,Sriimurali (brother) See Rajkumar family,Actor film director Television presenter,Unknown,Unknown,Unknown,Unknown,Unknown
Jaggesh,Eshwar Gowda,1963-03-17,Parimala Jaggesh,Unknown,Turuvekere,Bharatiya Janata Party (2009–present) Indian National Congress (2008–2009),2.0,Komal (brother),Unknown,Unknown,Unknown,Unknown,Unknown,1
Anant Nag,Unknown,1948-09-04,Gayatri ​​,Padma Bhushan (2025) Filmfare Award Rajyotsava Award (2017),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Full list,Unknown,Unknown,4
Vijaya Kumar,Vijay Kumar,1974-01-20,Unknown,Unknown,Unknown,Unknown,4.0,Unknown,Actor film director,Unknown,Unknown,Unknown,Unknown,20
Ambareesh,Malavalli Huchche Gowda Amarnath,1952-05-29,Sumalatha ​​,Unknown,Mandya,"Indian National Congress (1994–1996, 1999–2018)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29
V. Ravichandran,Veeraswamy Ravichandran,1961-05-30,Sumathy ​​,Unknown,Unknown,Unknown,Unknown,Balaji (brother) [ 3 ],Actor filmmaker composer Lyricist Television Presenter,Unknown,Unknown,Unknown,Unknown,30
Ramesh Aravind,Unknown,1964-09-10,Archana Ramesh,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,ramesharavind .com,Full list,Unknown,Unknown,10
Siddharth,Siddharth Suryanarayan,1979-04-17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor producer playback singer,Unknown,Unknown,Unknown,Unknown,17
Chetan Kumar,Unknown,1983-02-24,Megha Shrivastav,Unknown,Unknown,Unknown,Unknown,Unknown,Actor social worker activist,Unknown,Unknown,Unknown,Unknown,24
Arjun Sarja,Srinivasa Sarja,1962-08-15,Niveditha ​​,Unknown,Unknown,Unknown,2.0,Sarja family,Actor director producer screenwriter distributor,Unknown,Full list,Unknown,Unknown,15
Nikhil Kumaraswamy,Unknown,1988-01-22,Revathi ​​,Unknown,Unknown,Janata Dal (Secular),1.0,Unknown,Actor politician,Unknown,Unknown,Unknown,Unknown,22
Abhishek Ambareesh,Unknown,1992-10-03,Aviva Bidapa ​​,Unknown,Unknown,Unknown,Unknown,Chowdiah (great-grandfather),Unknown,Unknown,Unknown,Ambareesh (father) Sumalatha (mother),Unknown,3
M. G. Srinivas,Madihalli Gopalakrishna Srinivas,1984-07-09,Shruti. I. L ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9
Raghavendra Rajkumar,Unknown,1965-08-15,Mangala,Unknown,Unknown,Unknown,Unknown,See Rajkumar family,Unknown,Unknown,Unknown,Unknown,Unknown,15
Raj Dipak Shetty,Unknown,1978-10-18,Sonia Rodrigues ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18
Sumeet Raghavan,Unknown,1971-04-22,Chinmayee Surve ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,sumeetraghvan .com,Unknown,Unknown,Unknown,22
Sandeep Shetty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,23
Chiranjeevi Sarja,Unknown,Unknown,Meghana Raj ​​,Unknown,Unknown,Unknown,1.0,Sarja family,Unknown,Unknown,Unknown,Unknown,Unknown,17
Aniruddha Jatkar,Unknown,1974-02-16,Unknown,Unknown,Unknown,Unknown,Unknown,"Vishnuvardhan (Father-in-law), [ 1 ] Bharathi Vishnuvardhan (Mother-in-law)",Unknown,Unknown,Unknown,Unknown,Unknown,16
Ravishankar Gowda,Ravishankar,Unknown,Sangeetha Gururaj ​​,Unknown,Unknown,Unknown,2.0,Manjula Gururaj (mother-in-law),Unknown,Unknown,Unknown,Unknown,Unknown,26
Sharath Lohithaswa,Sharatchandra Lohithaswa,1972-05-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ajay Rao,Unknown,1980-01-24,Sapna Ajay Rao,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24
